C1,C2,Cb,Ld,Ls,WN1,Bandwidth,DCPowerConsumption,S11,NoiseFigure,PowerGain
2e-13,1e-13,5.5e-13,4.8e-10,2.5e-09,2e-05,17900000000.0,0.0286,-9.29,3.787,1.41
2e-13,1e-13,5.5e-13,4.8e-10,2.5e-09,2.1e-05,17500000000.0,0.03,-9.05,3.835,1.294
2e-13,1e-13,5.5e-13,4.8e-10,2.5e-09,2.2e-05,17200000000.0,0.0313,-8.84,3.887,1.17
2e-13,1e-13,5.5e-13,4.8e-10,2.5e-09,2.3e-05,16800000000.0,0.0327,-8.65,3.941,1.04
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,1.8e-05,18900000000.0,0.0258,-9.77,3.726,1.613
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,1.2e-05,21600000000.0,0.0175,-12.34,3.681,1.848
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,1.3e-05,21000000000.0,0.0189,-11.83,3.658,1.863
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,1.4e-05,20500000000.0,0.0202,-11.34,3.65,1.852
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,1.5e-05,20000000000.0,0.0216,-10.88,3.654,1.819
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,1.6e-05,19600000000.0,0.023,-10.47,3.67,1.766
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,1.7e-05,19300000000.0,0.0244,-10.1,3.694,1.697
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,1.9e-05,18400000000.0,0.0272,-9.48,3.764,1.517
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,2e-05,17900000000.0,0.0286,-9.22,3.807,1.41
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,2.1e-05,17500000000.0,0.03,-8.99,3.855,1.294
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,2.2e-05,17200000000.0,0.0313,-8.78,3.907,1.17
2e-13,1e-13,5.5e-13,4.8e-10,3.5e-09,2.3e-05,16800000000.0,0.0327,-8.6,3.961,1.04
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,1.8e-05,18900000000.0,0.0258,-9.73,3.737,1.613
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,1.2e-05,21600000000.0,0.0175,-12.26,3.692,1.848
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,1.3e-05,21000000000.0,0.0189,-11.75,3.668,1.863
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,1.4e-05,20500000000.0,0.0202,-11.27,3.66,1.852
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,1.5e-05,20000000000.0,0.0216,-10.82,3.665,1.819
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,1.6e-05,19600000000.0,0.023,-10.42,3.681,1.766
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,1.7e-05,19300000000.0,0.0244,-10.06,3.705,1.697
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,1.9e-05,18400000000.0,0.0272,-9.44,3.775,1.517
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,2e-05,17900000000.0,0.0286,-9.19,3.818,1.41
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,2.1e-05,17500000000.0,0.03,-8.96,3.866,1.294
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,2.2e-05,17200000000.0,0.0313,-8.75,3.918,1.17
2e-13,1e-13,5.5e-13,4.8e-10,4.5e-09,2.3e-05,16800000000.0,0.0327,-8.57,3.973,1.04
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,1.8e-05,18900000000.0,0.0258,-9.71,3.744,1.613
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,1.2e-05,21600000000.0,0.0175,-12.2,3.698,1.848
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,1.3e-05,21000000000.0,0.0189,-11.7,3.675,1.863
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,1.4e-05,20500000000.0,0.0202,-11.23,3.667,1.852
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,1.5e-05,20000000000.0,0.0216,-10.78,3.672,1.819
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,1.6e-05,19600000000.0,0.023,-10.38,3.688,1.766
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,1.7e-05,19300000000.0,0.0244,-10.03,3.712,1.697
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,1.9e-05,18400000000.0,0.0272,-9.42,3.782,1.517
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,2e-05,17900000000.0,0.0286,-9.16,3.825,1.41
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,2.1e-05,17500000000.0,0.03,-8.94,3.873,1.294
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,2.2e-05,17200000000.0,0.0313,-8.73,3.925,1.17
2e-13,1e-13,5.5e-13,4.8e-10,5.5e-09,2.3e-05,16800000000.0,0.0327,-8.55,3.98,1.04
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,1.8e-05,18700000000.0,0.0258,-9.91,3.661,1.295
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,1.2e-05,21600000000.0,0.0175,-12.79,3.62,1.496
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,1.3e-05,21100000000.0,0.0189,-12.19,3.596,1.516
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,1.4e-05,20500000000.0,0.0202,-11.62,3.587,1.511
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,1.5e-05,20000000000.0,0.0216,-11.11,3.591,1.483
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,1.6e-05,19500000000.0,0.023,-10.66,3.606,1.436
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,1.7e-05,19100000000.0,0.0244,-10.26,3.63,1.372
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,1.9e-05,18300000000.0,0.0272,-9.59,3.699,1.205
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,2e-05,18000000000.0,0.0286,-9.32,3.742,1.105
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,2.1e-05,17600000000.0,0.03,-9.07,3.79,0.995
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,2.2e-05,17200000000.0,0.0313,-8.85,3.841,0.878
2e-13,1e-13,5.5e-13,5.8e-10,1.5e-09,2.3e-05,16800000000.0,0.0327,-8.66,3.896,0.753
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,1.8e-05,18700000000.0,0.0258,-10.78,3.469,1.295
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,1.2e-05,21600000000.0,0.0175,-14.96,3.444,1.496
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,1.3e-05,21100000000.0,0.0189,-13.98,3.416,1.516
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,1.4e-05,20500000000.0,0.0202,-13.13,3.404,1.511
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,1.5e-05,20000000000.0,0.0216,-12.4,3.406,1.483
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,1.6e-05,19500000000.0,0.023,-11.77,3.418,1.436
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,1.7e-05,19100000000.0,0.0244,-11.24,3.44,1.372
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,1.9e-05,18300000000.0,0.0272,-10.38,3.505,1.205
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,2e-05,18000000000.0,0.0286,-10.04,3.546,1.105
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,2.1e-05,17600000000.0,0.03,-9.74,3.592,0.995
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,2.2e-05,17200000000.0,0.0313,-9.47,3.641,0.878
2e-13,1e-13,5.5e-13,5.8e-10,5e-10,2.3e-05,16800000000.0,0.0327,-9.24,3.695,0.753
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,1.8e-05,18700000000.0,0.0258,-9.73,3.706,1.295
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,1.2e-05,21600000000.0,0.0175,-12.41,3.662,1.496
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,1.3e-05,21100000000.0,0.0189,-11.86,3.639,1.516
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,1.4e-05,20500000000.0,0.0202,-11.34,3.63,1.511
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,1.5e-05,20000000000.0,0.0216,-10.87,3.635,1.483
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,1.6e-05,19500000000.0,0.023,-10.45,3.65,1.436
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,1.7e-05,19100000000.0,0.0244,-10.07,3.674,1.372
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,1.9e-05,18300000000.0,0.0272,-9.44,3.744,1.205
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,2e-05,18000000000.0,0.0286,-9.17,3.787,1.105
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,2.1e-05,17600000000.0,0.03,-8.94,3.835,0.995
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,2.2e-05,17200000000.0,0.0313,-8.73,3.887,0.878
2e-13,1e-13,5.5e-13,5.8e-10,2.5e-09,2.3e-05,16800000000.0,0.0327,-8.54,3.941,0.753
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,1.8e-05,18700000000.0,0.0258,-9.66,3.726,1.295
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,1.2e-05,21600000000.0,0.0175,-12.25,3.681,1.496
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,1.3e-05,21100000000.0,0.0189,-11.73,3.658,1.516
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,1.4e-05,20500000000.0,0.0202,-11.23,3.65,1.511
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,1.5e-05,20000000000.0,0.0216,-10.77,3.654,1.483
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,1.6e-05,19500000000.0,0.023,-10.35,3.67,1.436
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,1.7e-05,19100000000.0,0.0244,-9.99,3.694,1.372
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,1.9e-05,18300000000.0,0.0272,-9.37,3.764,1.205
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,2e-05,18000000000.0,0.0286,-9.11,3.807,1.105
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,2.1e-05,17600000000.0,0.03,-8.88,3.855,0.995
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,2.2e-05,17200000000.0,0.0313,-8.67,3.907,0.878
2e-13,1e-13,5.5e-13,5.8e-10,3.5e-09,2.3e-05,16800000000.0,0.0327,-8.49,3.961,0.753
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,1.8e-05,18700000000.0,0.0258,-9.62,3.737,1.295
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,1.2e-05,21600000000.0,0.0175,-12.17,3.692,1.496
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,1.3e-05,21100000000.0,0.0189,-11.65,3.668,1.516
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,1.4e-05,20500000000.0,0.0202,-11.16,3.66,1.511
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,1.5e-05,20000000000.0,0.0216,-10.71,3.665,1.483
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,1.6e-05,19500000000.0,0.023,-10.3,3.681,1.436
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,1.7e-05,19100000000.0,0.0244,-9.94,3.705,1.372
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,1.9e-05,18300000000.0,0.0272,-9.33,3.775,1.205
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,2e-05,18000000000.0,0.0286,-9.08,3.818,1.105
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,2.1e-05,17600000000.0,0.03,-8.85,3.866,0.995
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,2.2e-05,17200000000.0,0.0313,-8.64,3.918,0.878
2e-13,1e-13,5.5e-13,5.8e-10,4.5e-09,2.3e-05,16800000000.0,0.0327,-8.46,3.973,0.753
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,1.8e-05,18700000000.0,0.0258,-9.59,3.744,1.295
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,1.2e-05,21600000000.0,0.0175,-12.11,3.698,1.496
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,1.3e-05,21100000000.0,0.0189,-11.6,3.675,1.516
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,1.4e-05,20500000000.0,0.0202,-11.12,3.667,1.511
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,1.5e-05,20000000000.0,0.0216,-10.67,3.672,1.483
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,1.6e-05,19500000000.0,0.023,-10.27,3.688,1.436
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,1.7e-05,19100000000.0,0.0244,-9.91,3.712,1.372
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,1.9e-05,18300000000.0,0.0272,-9.31,3.782,1.205
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,2e-05,18000000000.0,0.0286,-9.05,3.825,1.105
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,2.1e-05,17600000000.0,0.03,-8.83,3.873,0.995
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,2.2e-05,17200000000.0,0.0313,-8.62,3.925,0.878
2e-13,1e-13,5.5e-13,5.8e-10,5.5e-09,2.3e-05,16800000000.0,0.0327,-8.44,3.98,0.753
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,1.8e-05,20400000000.0,0.0258,-13.24,3.951,3.775
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,1.2e-05,22500000000.0,0.0175,-15.76,3.979,3.739
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,1.3e-05,22100000000.0,0.0189,-15.51,3.948,3.829
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,1.4e-05,21800000000.0,0.0202,-15.13,3.93,3.879
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,1.5e-05,21400000000.0,0.0216,-14.68,3.923,3.894
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,1.6e-05,21000000000.0,0.023,-14.2,3.925,3.879
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,1.7e-05,20600000000.0,0.0244,-13.71,3.935,3.838
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,1.9e-05,20100000000.0,0.0272,-12.78,3.972,3.693
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,2e-05,19700000000.0,0.0286,-12.35,3.998,3.595
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,2.1e-05,19400000000.0,0.03,-11.95,4.027,3.483
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,2.2e-05,19200000000.0,0.0313,-11.57,4.06,3.36
2e-13,1e-13,2.5e-13,1.8e-10,1.5e-09,2.3e-05,19000000000.0,0.0327,-11.21,4.095,3.227
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,1.8e-05,20400000000.0,0.0258,-15.76,3.748,3.775
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,1.2e-05,22500000000.0,0.0175,-20.05,3.8,3.739
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,1.3e-05,22100000000.0,0.0189,-19.69,3.764,3.829
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,1.4e-05,21800000000.0,0.0202,-18.99,3.742,3.879
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,1.5e-05,21400000000.0,0.0216,-18.17,3.731,3.894
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,1.6e-05,21000000000.0,0.023,-17.32,3.729,3.879
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,1.7e-05,20600000000.0,0.0244,-16.51,3.735,3.838
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,1.9e-05,20100000000.0,0.0272,-15.07,3.766,3.693
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,2e-05,19700000000.0,0.0286,-14.44,3.789,3.595
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,2.1e-05,19400000000.0,0.03,-13.86,3.816,3.483
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,2.2e-05,19200000000.0,0.0313,-13.33,3.846,3.36
2e-13,1e-13,2.5e-13,1.8e-10,5e-10,2.3e-05,19000000000.0,0.0327,-12.85,3.879,3.227
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,1.8e-05,20400000000.0,0.0258,-12.81,3.998,3.775
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,1.2e-05,22500000000.0,0.0175,-15.1,4.023,3.739
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,1.3e-05,22100000000.0,0.0189,-14.88,3.992,3.829
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,1.4e-05,21800000000.0,0.0202,-14.54,3.975,3.879
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,1.5e-05,21400000000.0,0.0216,-14.13,3.969,3.894
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,1.6e-05,21000000000.0,0.023,-13.7,3.971,3.879
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,1.7e-05,20600000000.0,0.0244,-13.25,3.982,3.838
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,1.9e-05,20100000000.0,0.0272,-12.39,4.02,3.693
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,2e-05,19700000000.0,0.0286,-11.99,4.046,3.595
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,2.1e-05,19400000000.0,0.03,-11.61,4.076,3.483
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,2.2e-05,19200000000.0,0.0313,-11.25,4.109,3.36
2e-13,1e-13,2.5e-13,1.8e-10,2.5e-09,2.3e-05,19000000000.0,0.0327,-10.91,4.144,3.227
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,1.8e-05,20400000000.0,0.0258,-12.64,4.019,3.775
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,1.2e-05,22500000000.0,0.0175,-14.84,4.042,3.739
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,1.3e-05,22100000000.0,0.0189,-14.63,4.012,3.829
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,1.4e-05,21800000000.0,0.0202,-14.3,3.995,3.879
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,1.5e-05,21400000000.0,0.0216,-13.91,3.989,3.894
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,1.6e-05,21000000000.0,0.023,-13.49,3.992,3.879
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,1.7e-05,20600000000.0,0.0244,-13.06,4.002,3.838
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,1.9e-05,20100000000.0,0.0272,-12.23,4.041,3.693
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,2e-05,19700000000.0,0.0286,-11.84,4.067,3.595
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,2.1e-05,19400000000.0,0.03,-11.47,4.097,3.483
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,2.2e-05,19200000000.0,0.0313,-11.12,4.13,3.36
2e-13,1e-13,2.5e-13,1.8e-10,3.5e-09,2.3e-05,19000000000.0,0.0327,-10.79,4.166,3.227
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,1.8e-05,20400000000.0,0.0258,-12.54,4.031,3.775
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,1.2e-05,22500000000.0,0.0175,-14.7,4.053,3.739
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,1.3e-05,22100000000.0,0.0189,-14.49,4.023,3.829
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,1.4e-05,21800000000.0,0.0202,-14.17,4.006,3.879
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,1.5e-05,21400000000.0,0.0216,-13.79,4.0,3.894
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,1.6e-05,21000000000.0,0.023,-13.38,4.003,3.879
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,1.7e-05,20600000000.0,0.0244,-12.96,4.014,3.838
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,1.9e-05,20100000000.0,0.0272,-12.14,4.053,3.693
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,2e-05,19700000000.0,0.0286,-11.76,4.079,3.595
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,2.1e-05,19400000000.0,0.03,-11.39,4.109,3.483
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,2.2e-05,19200000000.0,0.0313,-11.05,4.142,3.36
2e-13,1e-13,2.5e-13,1.8e-10,4.5e-09,2.3e-05,19000000000.0,0.0327,-10.72,4.178,3.227
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,1.8e-05,20400000000.0,0.0258,-12.48,4.038,3.775
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,1.2e-05,22500000000.0,0.0175,-14.61,4.06,3.739
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,1.3e-05,22100000000.0,0.0189,-14.4,4.03,3.829
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,1.4e-05,21800000000.0,0.0202,-14.09,4.014,3.879
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,1.5e-05,21400000000.0,0.0216,-13.71,4.008,3.894
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,1.6e-05,21000000000.0,0.023,-13.31,4.011,3.879
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,1.7e-05,20600000000.0,0.0244,-12.89,4.021,3.838
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,1.9e-05,20100000000.0,0.0272,-12.09,4.06,3.693
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,2e-05,19700000000.0,0.0286,-11.71,4.086,3.595
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,2.1e-05,19400000000.0,0.03,-11.34,4.117,3.483
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,2.2e-05,19200000000.0,0.0313,-11.0,4.15,3.36
2e-13,1e-13,2.5e-13,1.8e-10,5.5e-09,2.3e-05,19000000000.0,0.0327,-10.68,4.186,3.227
2e-13,1e-13,2.5e-13,8e-11,1.5e-09,1.8e-05,21100000000.0,0.0258,-15.12,3.951,0.991
2e-13,1e-13,2.5e-13,8e-11,1.5e-09,1.5e-05,21900000000.0,0.0216,-16.84,3.923,0.022
2e-13,1e-13,2.5e-13,8e-11,1.5e-09,1.6e-05,21500000000.0,0.023,-16.12,3.925,0.366
2e-13,1e-13,2.5e-13,8e-11,1.5e-09,1.7e-05,21400000000.0,0.0244,-15.56,3.935,0.688
2e-13,1e-13,2.5e-13,8e-11,1.5e-09,1.9e-05,20700000000.0,0.0272,-14.79,3.972,1.275
2e-13,1e-13,2.5e-13,8e-11,1.5e-09,2e-05,20500000000.0,0.0286,-14.56,3.998,1.54
2e-13,1e-13,2.5e-13,8e-11,1.5e-09,2.1e-05,20400000000.0,0.03,-14.42,4.027,1.788
2e-13,1e-13,2.5e-13,8e-11,1.5e-09,2.2e-05,20000000000.0,0.0313,-14.37,4.06,2.017
2e-13,1e-13,2.5e-13,8e-11,1.5e-09,2.3e-05,19800000000.0,0.0327,-14.39,4.095,2.228
2e-13,1e-13,2.5e-13,8e-11,5e-10,1.8e-05,21100000000.0,0.0258,-14.48,3.748,0.991
2e-13,1e-13,2.5e-13,8e-11,5e-10,1.5e-05,21900000000.0,0.0216,-16.65,3.731,0.022
2e-13,1e-13,2.5e-13,8e-11,5e-10,1.6e-05,21500000000.0,0.023,-15.73,3.729,0.366
2e-13,1e-13,2.5e-13,8e-11,5e-10,1.7e-05,21400000000.0,0.0244,-15.03,3.735,0.688
2e-13,1e-13,2.5e-13,8e-11,5e-10,1.9e-05,20700000000.0,0.0272,-14.06,3.766,1.275
2e-13,1e-13,2.5e-13,8e-11,5e-10,2e-05,20500000000.0,0.0286,-13.75,3.789,1.54
2e-13,1e-13,2.5e-13,8e-11,5e-10,2.1e-05,20400000000.0,0.03,-13.53,3.816,1.788
2e-13,1e-13,2.5e-13,8e-11,5e-10,2.2e-05,20000000000.0,0.0313,-13.4,3.846,2.017
2e-13,1e-13,2.5e-13,8e-11,5e-10,2.3e-05,19800000000.0,0.0327,-13.34,3.879,2.228
2e-13,1e-13,2.5e-13,8e-11,2.5e-09,1.8e-05,21100000000.0,0.0258,-15.16,3.998,0.991
2e-13,1e-13,2.5e-13,8e-11,2.5e-09,1.5e-05,21900000000.0,0.0216,-16.72,3.969,0.022
2e-13,1e-13,2.5e-13,8e-11,2.5e-09,1.6e-05,21500000000.0,0.023,-16.08,3.971,0.366
2e-13,1e-13,2.5e-13,8e-11,2.5e-09,1.7e-05,21400000000.0,0.0244,-15.56,3.982,0.688
2e-13,1e-13,2.5e-13,8e-11,2.5e-09,1.9e-05,20700000000.0,0.0272,-14.87,4.02,1.275
2e-13,1e-13,2.5e-13,8e-11,2.5e-09,2e-05,20500000000.0,0.0286,-14.66,4.046,1.54
2e-13,1e-13,2.5e-13,8e-11,2.5e-09,2.1e-05,20400000000.0,0.03,-14.55,4.076,1.788
2e-13,1e-13,2.5e-13,8e-11,2.5e-09,2.2e-05,20000000000.0,0.0313,-14.51,4.109,2.017
2e-13,1e-13,2.5e-13,8e-11,2.5e-09,2.3e-05,19800000000.0,0.0327,-14.55,4.144,2.228
2e-13,1e-13,2.5e-13,8e-11,3.5e-09,1.8e-05,21100000000.0,0.0258,-15.17,4.019,0.991
2e-13,1e-13,2.5e-13,8e-11,3.5e-09,1.5e-05,21900000000.0,0.0216,-16.66,3.989,0.022
2e-13,1e-13,2.5e-13,8e-11,3.5e-09,1.6e-05,21500000000.0,0.023,-16.04,3.992,0.366
2e-13,1e-13,2.5e-13,8e-11,3.5e-09,1.7e-05,21400000000.0,0.0244,-15.55,4.002,0.688
2e-13,1e-13,2.5e-13,8e-11,3.5e-09,1.9e-05,20700000000.0,0.0272,-14.89,4.041,1.275
2e-13,1e-13,2.5e-13,8e-11,3.5e-09,2e-05,20500000000.0,0.0286,-14.7,4.067,1.54
2e-13,1e-13,2.5e-13,8e-11,3.5e-09,2.1e-05,20400000000.0,0.03,-14.59,4.097,1.788
2e-13,1e-13,2.5e-13,8e-11,3.5e-09,2.2e-05,20000000000.0,0.0313,-14.56,4.13,2.017
2e-13,1e-13,2.5e-13,8e-11,3.5e-09,2.3e-05,19800000000.0,0.0327,-14.61,4.166,2.228
2e-13,1e-13,2.5e-13,8e-11,4.5e-09,1.8e-05,21100000000.0,0.0258,-15.17,4.031,0.991
2e-13,1e-13,2.5e-13,8e-11,4.5e-09,1.5e-05,21900000000.0,0.0216,-16.62,4.0,0.022
2e-13,1e-13,2.5e-13,8e-11,4.5e-09,1.6e-05,21500000000.0,0.023,-16.02,4.003,0.366
2e-13,1e-13,2.5e-13,8e-11,4.5e-09,1.7e-05,21400000000.0,0.0244,-15.55,4.014,0.688
