L1p,L1s,L3p,L3s,Lm,WN1,WN2,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
3e-10,4e-10,8e-10,5e-10,1.5e-10,6e-06,3e-05,0.0344,-1.617,-29.99,6.38,0.441,0.107,-2.863
3e-10,4e-10,8e-10,5e-10,1.5e-10,6e-06,3.5e-05,0.0371,-1.616,-13.49,2.85,0.205,0.017,-6.098
3e-10,4e-10,8e-10,5e-10,1.5e-10,1.1e-05,2.5e-05,0.0325,-2.89,-8.56,15.4,1.623,1.062,2.612
3e-10,4e-10,8e-10,5e-10,1.5e-10,1.1e-05,1.5e-05,0.0269,-3.125,-1.75,20.15,0.602,0.52,-1.811
3e-10,4e-10,8e-10,5e-10,1.5e-10,1.1e-05,2e-05,0.0297,-2.955,-3.74,17.77,1.28,0.992,1.532
3e-10,4e-10,8e-10,5e-10,1.5e-10,1.1e-05,3e-05,0.0352,-2.869,-26.22,12.44,1.234,0.633,1.513
3e-10,4e-10,8e-10,5e-10,1.5e-10,1.1e-05,3.5e-05,0.038,-2.86,-13.98,9.13,0.67,0.243,-1.024
3e-10,4e-10,8e-10,5e-10,2e-10,6e-06,2.5e-05,0.0316,-1.604,-8.9,9.54,0.759,0.294,-0.616
3e-10,4e-10,8e-10,5e-10,2e-10,6e-06,1.5e-05,0.0261,-1.621,-1.55,14.43,0.506,0.341,-2.552
3e-10,4e-10,8e-10,5e-10,2e-10,6e-06,2e-05,0.0288,-1.614,-4.18,12.7,0.929,0.523,0.158
3e-10,4e-10,8e-10,5e-10,2e-10,6e-06,3e-05,0.0344,-1.6,-21.2,6.21,0.406,0.095,-3.226
3e-10,4e-10,8e-10,5e-10,2e-10,6e-06,3.5e-05,0.0371,-1.599,-14.96,2.77,0.193,0.015,-6.362
3e-10,4e-10,8e-10,5e-10,2e-10,1.1e-05,2.5e-05,0.0325,-2.84,-8.23,15.4,1.543,0.997,2.386
3e-10,4e-10,8e-10,5e-10,2e-10,1.1e-05,1.5e-05,0.0269,-3.11,-1.92,20.8,0.601,0.524,-1.82
3e-10,4e-10,8e-10,5e-10,2e-10,1.1e-05,2e-05,0.0297,-2.903,-3.78,17.94,1.241,0.962,1.387
3e-10,4e-10,8e-10,5e-10,2e-10,1.1e-05,3e-05,0.0352,-2.82,-20.28,12.45,1.149,0.574,1.199
3e-10,4e-10,8e-10,5e-10,2e-10,1.1e-05,3.5e-05,0.038,-2.812,-15.52,9.22,0.626,0.224,-1.32
3e-10,4e-10,8e-10,5e-10,2.5e-10,6e-06,2.5e-05,0.0316,-1.586,-8.26,9.3,0.69,0.259,-1.035
3e-10,4e-10,8e-10,5e-10,2.5e-10,6e-06,1.5e-05,0.026,-1.609,-1.77,15.2,0.503,0.351,-2.583
3e-10,4e-10,8e-10,5e-10,2.5e-10,6e-06,2e-05,0.0288,-1.596,-4.18,12.64,0.89,0.503,-0.029
3e-10,4e-10,8e-10,5e-10,2.5e-10,6e-06,3e-05,0.0343,-1.583,-17.09,6.0,0.367,0.084,-3.665
3e-10,4e-10,8e-10,5e-10,2.5e-10,6e-06,3.5e-05,0.0371,-1.581,-16.36,2.66,0.178,0.013,-6.707
3e-10,4e-10,8e-10,5e-10,2.5e-10,1.1e-05,2.5e-05,0.0324,-2.791,-7.71,15.35,1.473,0.918,2.181
3e-10,4e-10,8e-10,5e-10,2.5e-10,1.1e-05,1.5e-05,0.0269,-3.09,-2.06,21.35,0.597,0.519,-1.852
3e-10,4e-10,8e-10,5e-10,2.5e-10,1.1e-05,2e-05,0.0297,-2.851,-3.72,18.02,1.175,0.92,1.141
3e-10,4e-10,8e-10,5e-10,2.5e-10,1.1e-05,3e-05,0.0352,-2.773,-16.71,12.42,1.066,0.508,0.87
3e-10,4e-10,8e-10,5e-10,2.5e-10,1.1e-05,3.5e-05,0.0379,-2.766,-17.01,9.28,0.583,0.201,-1.634
3e-10,4e-10,8e-10,7e-10,5e-11,6e-06,2.5e-05,0.0349,-1.655,-6.45,9.3,0.792,0.301,-0.594
3e-10,4e-10,8e-10,7e-10,5e-11,6e-06,2e-05,0.0321,-1.664,-2.34,10.94,0.742,0.359,-0.971
3e-10,4e-10,8e-10,7e-10,5e-11,6e-06,3e-05,0.0377,-1.651,-19.92,6.54,0.501,0.126,-2.48
3e-10,4e-10,8e-10,7e-10,5e-11,6e-06,3.5e-05,0.0405,-1.649,-11.25,2.88,0.228,0.018,-5.795
3e-10,4e-10,8e-10,7e-10,5e-11,1.1e-05,2.5e-05,0.0358,-2.989,-6.05,14.62,1.466,0.94,2.015
3e-10,4e-10,8e-10,7e-10,5e-11,1.1e-05,2e-05,0.033,-3.053,-2.33,15.97,1.024,0.747,0.406
3e-10,4e-10,8e-10,7e-10,5e-11,1.1e-05,3e-05,0.0385,-2.963,-18.36,12.25,1.306,0.683,1.593
3e-10,4e-10,8e-10,7e-10,5e-11,1.1e-05,3.5e-05,0.0413,-2.953,-11.67,8.83,0.75,0.266,-0.705
3e-10,4e-10,8e-10,7e-10,1e-10,6e-06,2.5e-05,0.0349,-1.638,-6.58,9.25,0.756,0.283,-0.8
3e-10,4e-10,8e-10,7e-10,1e-10,6e-06,2e-05,0.0321,-1.648,-2.59,11.31,0.747,0.373,-0.948
3e-10,4e-10,8e-10,7e-10,1e-10,6e-06,3e-05,0.0377,-1.634,-15.98,6.36,0.463,0.112,-2.821
3e-10,4e-10,8e-10,7e-10,1e-10,6e-06,3.5e-05,0.0404,-1.632,-11.37,2.79,0.216,0.017,-6.035
3e-10,4e-10,8e-10,7e-10,1e-10,1.1e-05,2.5e-05,0.0357,-2.94,-6.11,14.72,1.404,0.904,1.818
3e-10,4e-10,8e-10,7e-10,1e-10,1.1e-05,1.5e-05,0.0302,-3.142,-1.08,17.96,0.455,0.37,-3.199
3e-10,4e-10,8e-10,7e-10,1e-10,1.1e-05,2e-05,0.033,-3.007,-2.48,16.35,1.006,0.744,0.32
3e-10,4e-10,8e-10,7e-10,1e-10,1.1e-05,3e-05,0.0385,-2.914,-15.28,12.23,1.218,0.631,1.284
3e-10,4e-10,8e-10,7e-10,1e-10,1.1e-05,3.5e-05,0.0413,-2.906,-11.76,8.9,0.701,0.251,-1.0
3e-10,4e-10,8e-10,7e-10,1.5e-10,6e-06,2.5e-05,0.0349,-1.621,-6.42,9.1,0.708,0.259,-1.091
3e-10,4e-10,8e-10,7e-10,1.5e-10,6e-06,2e-05,0.0321,-1.632,-2.77,11.52,0.737,0.378,-1.016
3e-10,4e-10,8e-10,7e-10,1.5e-10,6e-06,3e-05,0.0376,-1.617,-13.28,6.13,0.424,0.097,-3.211
3e-10,4e-10,8e-10,7e-10,1.5e-10,6e-06,3.5e-05,0.0404,-1.615,-11.35,2.67,0.203,0.015,-6.312
3e-10,4e-10,8e-10,7e-10,1.5e-10,1.1e-05,2.5e-05,0.0357,-2.889,-5.94,14.73,1.342,0.855,1.611
3e-10,4e-10,8e-10,7e-10,1.5e-10,1.1e-05,1.5e-05,0.0302,-3.129,-1.19,18.71,0.45,0.375,-3.253
3e-10,4e-10,8e-10,7e-10,1.5e-10,1.1e-05,2e-05,0.033,-2.958,-2.57,16.62,0.986,0.733,0.221
3e-10,4e-10,8e-10,7e-10,1.5e-10,1.1e-05,3e-05,0.0385,-2.866,-12.94,12.18,1.136,0.576,0.975
3e-10,4e-10,8e-10,7e-10,1.5e-10,1.1e-05,3.5e-05,0.0412,-2.858,-11.71,8.95,0.655,0.231,-1.3
3e-10,4e-10,8e-10,7e-10,2e-10,6e-06,2.5e-05,0.0348,-1.604,-6.04,8.85,0.65,0.233,-1.467
3e-10,4e-10,8e-10,7e-10,2e-10,6e-06,1.5e-05,0.0293,-1.621,-1.06,12.96,0.375,0.231,-4.032
3e-10,4e-10,8e-10,7e-10,2e-10,6e-06,2e-05,0.0321,-1.614,-2.86,11.59,0.71,0.371,-1.183
3e-10,4e-10,8e-10,7e-10,2e-10,6e-06,3e-05,0.0376,-1.6,-11.37,5.86,0.383,0.084,-3.658
3e-10,4e-10,8e-10,7e-10,2e-10,6e-06,3.5e-05,0.0404,-1.599,-11.22,2.52,0.188,0.012,-6.643
3e-10,4e-10,8e-10,7e-10,2e-10,1.1e-05,2.5e-05,0.0357,-2.839,-5.63,14.68,1.265,0.795,1.349
3e-10,4e-10,8e-10,7e-10,2e-10,1.1e-05,1.5e-05,0.0302,-3.116,-1.3,19.39,0.448,0.379,-3.274
3e-10,4e-10,8e-10,7e-10,2e-10,1.1e-05,2e-05,0.0329,-2.906,-2.59,16.78,0.951,0.707,0.055
3e-10,4e-10,8e-10,7e-10,2e-10,1.1e-05,3e-05,0.0385,-2.818,-11.2,12.1,1.048,0.515,0.619
3e-10,4e-10,8e-10,7e-10,2e-10,1.1e-05,3.5e-05,0.0412,-2.811,-11.54,8.98,0.605,0.211,-1.649
3e-10,4e-10,8e-10,7e-10,2.5e-10,6e-06,2.5e-05,0.0348,-1.586,-5.57,8.55,0.585,0.203,-1.929
3e-10,4e-10,8e-10,7e-10,2.5e-10,6e-06,1.5e-05,0.0293,-1.609,-1.2,13.76,0.373,0.239,-4.067
3e-10,4e-10,8e-10,7e-10,2.5e-10,6e-06,2e-05,0.0321,-1.596,-2.85,11.52,0.678,0.357,-1.387
3e-10,4e-10,8e-10,7e-10,2.5e-10,6e-06,3e-05,0.0376,-1.583,-9.95,5.57,0.34,0.072,-4.172
3e-10,4e-10,8e-10,7e-10,2.5e-10,6e-06,3.5e-05,0.0403,-1.581,-11.01,2.35,0.171,0.01,-7.044
3e-10,4e-10,8e-10,7e-10,2.5e-10,1.1e-05,2.5e-05,0.0357,-2.789,-5.24,14.57,1.201,0.726,1.118
3e-10,4e-10,8e-10,7e-10,2.5e-10,1.1e-05,1.5e-05,0.0302,-3.097,-1.4,19.95,0.444,0.375,-3.318
3e-10,4e-10,8e-10,7e-10,2.5e-10,1.1e-05,2e-05,0.0329,-2.853,-2.54,16.84,0.895,0.671,-0.215
3e-10,4e-10,8e-10,7e-10,2.5e-10,1.1e-05,3e-05,0.0384,-2.771,-9.87,11.99,0.964,0.445,0.253
3e-10,4e-10,8e-10,7e-10,2.5e-10,1.1e-05,3.5e-05,0.0412,-2.764,-11.29,8.98,0.557,0.185,-2.01
3e-10,4e-10,8e-10,8e-10,5e-11,6e-06,2.5e-05,0.0363,-1.655,-5.7,9.04,0.745,0.273,-0.942
3e-10,4e-10,8e-10,8e-10,5e-11,6e-06,2e-05,0.0335,-1.664,-2.03,10.46,0.668,0.312,-1.511
3e-10,4e-10,8e-10,8e-10,5e-11,6e-06,3e-05,0.0391,-1.65,-15.3,6.43,0.494,0.122,-2.628
3e-10,4e-10,8e-10,8e-10,5e-11,6e-06,3.5e-05,0.0418,-1.649,-10.11,2.75,0.225,0.017,-5.93
3e-10,4e-10,8e-10,8e-10,5e-11,1.1e-05,2.5e-05,0.0371,-2.99,-5.33,14.33,1.355,0.859,1.587
3e-10,4e-10,8e-10,8e-10,5e-11,1.1e-05,2e-05,0.0344,-3.055,-2.02,15.48,0.923,0.659,-0.132
3e-10,4e-10,8e-10,8e-10,5e-11,1.1e-05,3e-05,0.0399,-2.962,-14.49,12.14,1.249,0.65,1.31
3e-10,4e-10,8e-10,8e-10,5e-11,1.1e-05,3.5e-05,0.0427,-2.953,-10.44,8.7,0.736,0.256,-0.873
3e-10,4e-10,8e-10,8e-10,1e-10,6e-06,2.5e-05,0.0363,-1.638,-5.75,8.97,0.709,0.257,-1.162
3e-10,4e-10,8e-10,8e-10,1e-10,6e-06,2e-05,0.0335,-1.648,-2.25,10.83,0.672,0.325,-1.492
3e-10,4e-10,8e-10,8e-10,1e-10,6e-06,3e-05,0.039,-1.634,-12.73,6.21,0.453,0.106,-3.006
3e-10,4e-10,8e-10,8e-10,1e-10,6e-06,3.5e-05,0.0418,-1.632,-9.92,2.63,0.212,0.015,-6.201
3e-10,4e-10,8e-10,8e-10,1e-10,1.1e-05,2.5e-05,0.0371,-2.94,-5.34,14.42,1.294,0.822,1.376
3e-10,4e-10,8e-10,8e-10,1e-10,1.1e-05,2e-05,0.0344,-3.008,-2.15,15.86,0.906,0.656,-0.222
3e-10,4e-10,8e-10,8e-10,1e-10,1.1e-05,3e-05,0.0399,-2.914,-12.32,12.08,1.16,0.6,0.986
3e-10,4e-10,8e-10,8e-10,1e-10,1.1e-05,3.5e-05,0.0426,-2.905,-10.22,8.75,0.684,0.239,-1.192
3e-10,4e-10,8e-10,8e-10,1.5e-10,6e-06,2.5e-05,0.0362,-1.621,-5.57,8.79,0.662,0.236,-1.468
3e-10,4e-10,8e-10,8e-10,1.5e-10,6e-06,2e-05,0.0335,-1.632,-2.4,11.05,0.662,0.329,-1.565
3e-10,4e-10,8e-10,8e-10,1.5e-10,6e-06,3e-05,0.039,-1.617,-10.83,5.94,0.411,0.091,-3.429
3e-10,4e-10,8e-10,8e-10,1.5e-10,6e-06,3.5e-05,0.0418,-1.615,-9.69,2.49,0.198,0.013,-6.502
3e-10,4e-10,8e-10,8e-10,1.5e-10,1.1e-05,2.5e-05,0.0371,-2.889,-5.16,14.41,1.233,0.773,1.159
3e-10,4e-10,8e-10,8e-10,1.5e-10,1.1e-05,1.5e-05,0.0316,-3.13,-1.02,18.13,0.4,0.329,-3.851
3e-10,4e-10,8e-10,8e-10,1.5e-10,1.1e-05,2e-05,0.0343,-2.959,-2.22,16.13,0.886,0.645,-0.327
3e-10,4e-10,8e-10,8e-10,1.5e-10,1.1e-05,3e-05,0.0399,-2.865,-10.62,11.99,1.079,0.545,0.666
3e-10,4e-10,8e-10,8e-10,1.5e-10,1.1e-05,3.5e-05,0.0426,-2.857,-9.95,8.77,0.636,0.221,-1.511
3e-10,4e-10,8e-10,8e-10,2e-10,6e-06,2.5e-05,0.0362,-1.604,-5.22,8.52,0.606,0.209,-1.858
3e-10,4e-10,8e-10,8e-10,2e-10,6e-06,2e-05,0.0335,-1.615,-2.48,11.12,0.637,0.323,-1.739
3e-10,4e-10,8e-10,8e-10,2e-10,6e-06,3e-05,0.039,-1.6,-9.42,5.64,0.368,0.078,-3.906
3e-10,4e-10,8e-10,8e-10,2e-10,6e-06,3.5e-05,0.0417,-1.598,-9.44,2.32,0.182,0.011,-6.854
3e-10,4e-10,8e-10,8e-10,2e-10,1.1e-05,2.5e-05,0.0371,-2.838,-4.87,14.34,1.16,0.716,0.887
3e-10,4e-10,8e-10,8e-10,2e-10,1.1e-05,1.5e-05,0.0316,-3.117,-1.12,18.8,0.398,0.332,-3.876
3e-10,4e-10,8e-10,8e-10,2e-10,1.1e-05,2e-05,0.0343,-2.907,-2.23,16.29,0.854,0.621,-0.498
3e-10,4e-10,8e-10,8e-10,2e-10,1.1e-05,3e-05,0.0398,-2.817,-9.31,11.88,0.993,0.482,0.302
3e-10,4e-10,8e-10,8e-10,2e-10,1.1e-05,3.5e-05,0.0426,-2.81,-9.67,8.78,0.585,0.199,-1.875
3e-10,4e-10,8e-10,8e-10,2.5e-10,6e-06,2.5e-05,0.0362,-1.586,-4.81,8.19,0.543,0.181,-2.334
3e-10,4e-10,8e-10,8e-10,2.5e-10,6e-06,1.5e-05,0.0307,-1.609,-1.03,13.17,0.33,0.202,-4.677
3e-10,4e-10,8e-10,8e-10,2.5e-10,6e-06,2e-05,0.0334,-1.597,-2.46,11.04,0.608,0.309,-1.949
3e-10,4e-10,8e-10,8e-10,2.5e-10,6e-06,3e-05,0.039,-1.583,-8.33,5.32,0.325,0.065,-4.445
3e-10,4e-10,8e-10,8e-10,2.5e-10,1.1e-05,2.5e-05,0.0371,-2.789,-4.53,14.21,1.099,0.651,0.65
3e-10,4e-10,8e-10,8e-10,2.5e-10,1.1e-05,1.5e-05,0.0316,-3.099,-1.2,19.37,0.394,0.329,-3.924
3e-10,4e-10,8e-10,8e-10,2.5e-10,1.1e-05,2e-05,0.0343,-2.853,-2.19,16.34,0.803,0.591,-0.775
3e-10,4e-10,8e-10,8e-10,2.5e-10,1.1e-05,3e-05,0.0398,-2.77,-8.28,11.75,0.912,0.413,-0.072
3e-10,4e-10,8e-10,8e-10,2.5e-10,1.1e-05,3.5e-05,0.0425,-2.764,-9.39,8.77,0.537,0.173,-2.248
3e-10,4e-10,9e-10,6e-10,5e-11,6e-06,2.5e-05,0.0334,-1.654,-12.43,10.14,0.968,0.408,0.357
3e-10,4e-10,9e-10,6e-10,5e-11,6e-06,1.5e-05,0.0278,-1.662,-1.11,12.29,0.535,0.304,-2.39
3e-10,4e-10,9e-10,6e-10,5e-11,6e-06,2e-05,0.0306,-1.663,-3.99,12.61,1.051,0.583,0.621
3e-10,4e-10,9e-10,6e-10,5e-11,6e-06,3e-05,0.0362,-1.65,-15.14,6.36,0.491,0.119,-2.485
3e-10,4e-10,9e-10,6e-10,5e-11,6e-06,3.5e-05,0.039,-1.649,-7.74,2.3,0.199,0.011,-6.307
3e-10,4e-10,9e-10,6e-10,5e-11,1.1e-05,2.5e-05,0.0343,-2.985,-11.57,15.53,1.78,1.198,2.924
3e-10,4e-10,9e-10,6e-10,5e-11,1.1e-05,1.5e-05,0.0287,-3.158,-1.47,18.92,0.67,0.549,-1.43
3e-10,4e-10,9e-10,6e-10,5e-11,1.1e-05,2e-05,0.0315,-3.048,-3.93,17.62,1.442,1.096,1.967
3e-10,4e-10,9e-10,6e-10,5e-11,1.1e-05,3e-05,0.037,-2.963,-16.29,12.12,1.336,0.702,1.776
3e-10,4e-10,9e-10,6e-10,5e-11,1.1e-05,3.5e-05,0.0398,-2.955,-7.98,8.26,0.679,0.222,-1.048
3e-10,4e-10,9e-10,6e-10,1e-10,6e-06,2.5e-05,0.0334,-1.637,-12.88,10.08,0.928,0.388,0.171
3e-10,4e-10,9e-10,6e-10,1e-10,6e-06,1.5e-05,0.0278,-1.648,-1.25,13.11,0.541,0.328,-2.352
3e-10,4e-10,9e-10,6e-10,1e-10,6e-06,2e-05,0.0306,-1.647,-4.4,12.9,1.052,0.596,0.618
3e-10,4e-10,9e-10,6e-10,1e-10,6e-06,3e-05,0.0362,-1.634,-16.82,6.3,0.468,0.112,-2.699
3e-10,4e-10,9e-10,6e-10,1e-10,6e-06,3.5e-05,0.039,-1.632,-8.48,2.35,0.195,0.011,-6.397
3e-10,4e-10,9e-10,6e-10,1e-10,1.1e-05,2.5e-05,0.0342,-2.936,-11.72,15.62,1.724,1.158,2.777
3e-10,4e-10,9e-10,6e-10,1e-10,1.1e-05,1.5e-05,0.0287,-3.142,-1.63,19.7,0.661,0.556,-1.498
3e-10,4e-10,9e-10,6e-10,1e-10,1.1e-05,2e-05,0.0315,-3.001,-4.17,17.95,1.417,1.087,1.881
3e-10,4e-10,9e-10,6e-10,1e-10,1.1e-05,3e-05,0.037,-2.915,-18.2,12.23,1.276,0.673,1.572
3e-10,4e-10,9e-10,6e-10,1e-10,1.1e-05,3.5e-05,0.0398,-2.908,-8.73,8.48,0.656,0.221,-1.201
3e-10,4e-10,9e-10,6e-10,1.5e-10,6e-06,2.5e-05,0.0334,-1.62,-12.34,9.95,0.876,0.36,-0.081
3e-10,4e-10,9e-10,6e-10,1.5e-10,6e-06,1.5e-05,0.0278,-1.635,-1.41,13.94,0.54,0.349,-2.361
3e-10,4e-10,9e-10,6e-10,1.5e-10,6e-06,2e-05,0.0306,-1.631,-4.69,13.05,1.036,0.594,0.545
3e-10,4e-10,9e-10,6e-10,1.5e-10,6e-06,3e-05,0.0361,-1.617,-17.9,6.2,0.441,0.103,-2.96
3e-10,4e-10,9e-10,6e-10,1.5e-10,6e-06,3.5e-05,0.0389,-1.616,-9.31,2.37,0.189,0.011,-6.532
3e-10,4e-10,9e-10,6e-10,1.5e-10,1.1e-05,2.5e-05,0.0342,-2.887,-11.23,15.66,1.671,1.108,2.635
3e-10,4e-10,9e-10,6e-10,1.5e-10,1.1e-05,1.5e-05,0.0287,-3.128,-1.81,20.43,0.651,0.559,-1.567
3e-10,4e-10,9e-10,6e-10,1.5e-10,1.1e-05,2e-05,0.0315,-2.951,-4.28,18.17,1.391,1.071,1.793
3e-10,4e-10,9e-10,6e-10,1.5e-10,1.1e-05,3e-05,0.037,-2.868,-19.34,12.29,1.216,0.632,1.36
3e-10,4e-10,9e-10,6e-10,1.5e-10,1.1e-05,3.5e-05,0.0398,-2.86,-9.57,8.66,0.631,0.216,-1.376
3e-10,4e-10,9e-10,6e-10,2e-10,6e-06,2.5e-05,0.0333,-1.603,-11.25,9.75,0.814,0.327,-0.403
3e-10,4e-10,9e-10,6e-10,2e-10,6e-06,1.5e-05,0.0278,-1.622,-1.61,14.74,0.538,0.365,-2.378
3e-10,4e-10,9e-10,6e-10,2e-10,6e-06,2e-05,0.0306,-1.613,-4.79,13.06,1.001,0.58,0.388
3e-10,4e-10,9e-10,6e-10,2e-10,6e-06,3e-05,0.0361,-1.6,-17.91,6.06,0.409,0.093,-3.282
3e-10,4e-10,9e-10,6e-10,2e-10,6e-06,3.5e-05,0.0389,-1.599,-10.22,2.35,0.181,0.011,-6.732
3e-10,4e-10,9e-10,6e-10,2e-10,1.1e-05,2.5e-05,0.0342,-2.838,-10.37,15.64,1.601,1.048,2.444
3e-10,4e-10,9e-10,6e-10,2e-10,1.1e-05,1.5e-05,0.0287,-3.112,-1.98,21.06,0.647,0.562,-1.599
3e-10,4e-10,9e-10,6e-10,2e-10,1.1e-05,2e-05,0.0314,-2.9,-4.27,18.3,1.349,1.038,1.653
3e-10,4e-10,9e-10,6e-10,2e-10,1.1e-05,3e-05,0.037,-2.82,-19.06,12.33,1.147,0.582,1.1
3e-10,4e-10,9e-10,6e-10,2e-10,1.1e-05,3.5e-05,0.0397,-2.813,-10.5,8.81,0.597,0.205,-1.613
3e-10,4e-10,9e-10,6e-10,2.5e-10,6e-06,2.5e-05,0.0333,-1.586,-10.05,9.5,0.742,0.289,-0.809
3e-10,4e-10,9e-10,6e-10,2.5e-10,6e-06,1.5e-05,0.0278,-1.61,-1.84,15.49,0.534,0.375,-2.418
3e-10,4e-10,9e-10,6e-10,2.5e-10,6e-06,2e-05,0.0306,-1.595,-4.71,12.96,0.959,0.556,0.196
3e-10,4e-10,9e-10,6e-10,2.5e-10,6e-06,3e-05,0.0361,-1.583,-16.99,5.9,0.373,0.084,-3.68
3e-10,4e-10,9e-10,6e-10,2.5e-10,1.1e-05,2.5e-05,0.0342,-2.789,-9.43,15.59,1.54,0.973,2.273
3e-10,4e-10,9e-10,6e-10,2.5e-10,1.1e-05,1.5e-05,0.0287,-3.09,-2.13,21.58,0.64,0.555,-1.645
3e-10,4e-10,9e-10,6e-10,2.5e-10,1.1e-05,2e-05,0.0314,-2.847,-4.15,18.35,1.279,0.993,1.415
3e-10,4e-10,9e-10,6e-10,2.5e-10,1.1e-05,3e-05,0.0369,-2.773,-17.76,12.34,1.078,0.521,0.83
3e-10,4e-10,9e-10,6e-10,2.5e-10,1.1e-05,3.5e-05,0.0397,-2.766,-11.51,8.93,0.564,0.187,-1.87
3e-10,4e-10,9e-10,4e-10,5e-11,6e-06,2.5e-05,0.0298,-1.654,-12.12,10.17,1.005,0.42,0.706
3e-10,4e-10,9e-10,4e-10,5e-11,6e-06,1.5e-05,0.0242,-1.662,-1.77,14.01,0.752,0.48,-0.732
3e-10,4e-10,9e-10,4e-10,5e-11,6e-06,2e-05,0.027,-1.662,-5.94,13.59,1.344,0.788,1.868
3e-10,4e-10,9e-10,4e-10,5e-11,6e-06,3e-05,0.0326,-1.651,-9.15,6.0,0.442,0.099,-2.759
3e-10,4e-10,9e-10,4e-10,5e-11,1.1e-05,2.5e-05,0.0307,-2.985,-12.33,15.64,1.978,1.348,3.564
3e-10,4e-10,9e-10,4e-10,5e-11,1.1e-05,1.5e-05,0.0251,-3.155,-2.33,20.56,0.931,0.789,0.177
3e-10,4e-10,9e-10,4e-10,5e-11,1.1e-05,2e-05,0.0279,-3.043,-5.99,18.66,1.835,1.444,3.189
3e-10,4e-10,9e-10,4e-10,5e-11,1.1e-05,3e-05,0.0334,-2.965,-9.53,11.78,1.294,0.646,1.827
3e-10,4e-10,9e-10,4e-10,5e-11,1.1e-05,3.5e-05,0.0362,-2.956,-6.41,7.95,0.621,0.193,-1.256
3e-10,4e-10,9e-10,4e-10,1e-10,6e-06,2.5e-05,0.0298,-1.638,-14.43,10.21,0.98,0.411,0.593
3e-10,4e-10,9e-10,4e-10,1e-10,6e-06,1.5e-05,0.0242,-1.649,-1.98,14.81,0.759,0.511,-0.696
3e-10,4e-10,9e-10,4e-10,1e-10,6e-06,2e-05,0.027,-1.646,-6.68,13.85,1.351,0.806,1.882
3e-10,4e-10,9e-10,4e-10,1e-10,6e-06,3e-05,0.0326,-1.634,-10.56,6.06,0.433,0.098,-2.853
3e-10,4e-10,9e-10,4e-10,1e-10,1.1e-05,2.5e-05,0.0306,-2.937,-14.21,15.82,1.944,1.329,3.481
3e-10,4e-10,9e-10,4e-10,1e-10,1.1e-05,1.5e-05,0.0251,-3.138,-2.6,21.31,0.917,0.799,0.111
3e-10,4e-10,9e-10,4e-10,1e-10,1.1e-05,2e-05,0.0279,-2.996,-6.44,18.98,1.815,1.438,3.134
3e-10,4e-10,9e-10,4e-10,1e-10,1.1e-05,3e-05,0.0334,-2.918,-10.95,11.99,1.259,0.639,1.702
3e-10,4e-10,9e-10,4e-10,1e-10,1.1e-05,3.5e-05,0.0362,-2.909,-7.21,8.25,0.611,0.199,-1.327
3e-10,4e-10,9e-10,4e-10,1.5e-10,6e-06,2.5e-05,0.0298,-1.62,-16.83,10.17,0.942,0.394,0.416
3e-10,4e-10,9e-10,4e-10,1.5e-10,6e-06,1.5e-05,0.0242,-1.635,-2.24,15.59,0.758,0.535,-0.705
3e-10,4e-10,9e-10,4e-10,1.5e-10,6e-06,2e-05,0.027,-1.63,-7.29,14.0,1.339,0.808,1.837
3e-10,4e-10,9e-10,4e-10,1.5e-10,6e-06,3e-05,0.0325,-1.618,-12.26,6.07,0.418,0.095,-3.004
3e-10,4e-10,9e-10,4e-10,1.5e-10,1.1e-05,2.5e-05,0.0306,-2.889,-15.8,15.94,1.907,1.293,3.392
3e-10,4e-10,9e-10,4e-10,1.5e-10,1.1e-05,1.5e-05,0.0251,-3.121,-2.88,22.0,0.905,0.803,0.048
3e-10,4e-10,9e-10,4e-10,1.5e-10,1.1e-05,2e-05,0.0279,-2.947,-6.73,19.21,1.798,1.426,3.084
3e-10,4e-10,9e-10,4e-10,1.5e-10,1.1e-05,3e-05,0.0334,-2.871,-12.67,12.16,1.218,0.619,1.554
3e-10,4e-10,9e-10,4e-10,1.5e-10,1.1e-05,3.5e-05,0.0361,-2.862,-8.14,8.5,0.596,0.201,-1.437
3e-10,4e-10,9e-10,4e-10,2e-10,6e-06,2.5e-05,0.0298,-1.603,-18.22,10.08,0.89,0.37,0.167
3e-10,4e-10,9e-10,4e-10,2e-10,6e-06,1.5e-05,0.0242,-1.622,-2.56,16.35,0.756,0.553,-0.721
3e-10,4e-10,9e-10,4e-10,2e-10,6e-06,2e-05,0.027,-1.612,-7.61,14.03,1.305,0.795,1.721
3e-10,4e-10,9e-10,4e-10,2e-10,6e-06,3e-05,0.0325,-1.6,-14.36,6.03,0.398,0.09,-3.226
3e-10,4e-10,9e-10,4e-10,2e-10,1.1e-05,2.5e-05,0.0306,-2.84,-16.38,16.02,1.849,1.24,3.252
3e-10,4e-10,9e-10,4e-10,2e-10,1.1e-05,1.5e-05,0.0251,-3.102,-3.16,22.6,0.903,0.809,0.036
3e-10,4e-10,9e-10,4e-10,2e-10,1.1e-05,2e-05,0.0279,-2.896,-6.79,19.36,1.761,1.394,2.988
3e-10,4e-10,9e-10,4e-10,2e-10,1.1e-05,3e-05,0.0334,-2.824,-14.79,12.3,1.162,0.582,1.347
